        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -6.969E-09    -1.095E-08    -1.025E-10     1.298E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -6.138E-09    -9.524E-09     2.972E-09     1.171E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -4.675E-09    -7.166E-09     4.695E-09     9.760E-09 
   -2.500E-01     0.000E+00    -2.500E-01    -1.365E-08    -1.634E-08     9.334E-10     2.131E-08 
   -2.500E-01     0.000E+00     0.000E+00    -1.163E-08    -1.309E-08     6.293E-09     1.861E-08 
   -2.500E-01     0.000E+00     2.500E-01    -8.148E-09    -8.787E-09     8.009E-09     1.441E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -2.658E-08    -2.178E-08     3.533E-09     3.455E-08 
   -2.500E-01     2.500E-01     0.000E+00    -2.105E-08    -1.560E-08     1.177E-08     2.872E-08 
   -2.500E-01     2.500E-01     2.500E-01    -1.357E-08    -8.791E-09     1.331E-08     2.094E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -4.929E-09    -1.567E-08     1.943E-10     1.643E-08 
    0.000E+00    -2.500E-01     0.000E+00    -4.267E-09    -1.343E-08     4.201E-09     1.471E-08 
    0.000E+00    -2.500E-01     2.500E-01    -2.967E-09    -9.654E-09     6.116E-09     1.181E-08 
    0.000E+00     0.000E+00    -2.500E-01    -1.199E-08    -2.681E-08     2.375E-09     2.947E-08 
    0.000E+00     0.000E+00     0.000E+00    -9.473E-09    -2.058E-08     9.509E-09     2.457E-08 
    0.000E+00     0.000E+00     2.500E-01    -6.284E-09    -1.308E-08     1.152E-08     1.853E-08 
    0.000E+00     2.500E-01    -2.500E-01    -3.015E-08    -4.639E-08     7.938E-09     5.590E-08 
    0.000E+00     2.500E-01     0.000E+00    -2.117E-08    -3.037E-08     2.092E-08     4.252E-08 
    0.000E+00     2.500E-01     2.500E-01    -1.212E-08    -1.564E-08     2.113E-08     2.895E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -5.063E-10    -1.868E-08     4.771E-10     1.869E-08 
    2.500E-01    -2.500E-01     0.000E+00    -1.225E-10    -1.568E-08     4.927E-09     1.644E-08 
    2.500E-01    -2.500E-01     2.500E-01     1.568E-10    -1.103E-08     6.956E-09     1.304E-08 
    2.500E-01     0.000E+00    -2.500E-01    -3.518E-09    -3.475E-08     3.283E-09     3.509E-08 
    2.500E-01     0.000E+00     0.000E+00    -2.375E-09    -2.686E-08     1.152E-08     2.932E-08 
    2.500E-01     0.000E+00     2.500E-01    -1.067E-09    -1.659E-08     1.396E-08     2.171E-08 
    2.500E-01     2.500E-01    -2.500E-01    -1.420E-08    -7.197E-08     1.283E-08     7.447E-08 
    2.500E-01     2.500E-01     0.000E+00    -8.267E-09    -4.713E-08     2.950E-08     5.621E-08 
    2.500E-01     2.500E-01     2.500E-01    -3.568E-09    -2.240E-08     2.755E-08     3.569E-08 
