channel_number,calibrated_vec_i
0,0.019514768748267502
1,-0.00031138292924524176
2,0.01951476874826868
3,0.027636055915326627
4,0.007603857159324836
5,0.02763605591532677
6,0.019514768748267634
7,-0.0003113829292458291
8,0.019514768748269073
9,0.019514768748265802
10,-0.0003113829292437489
11,0.019514768748264136
12,0.027636055915328406
13,0.007603857159323941
14,0.027636055915327834
15,0.019514768748266194
16,-0.0003113829292436968
17,0.019514768748266555
18,0.01595943805570653
19,-0.0025568667367227554
20,0.01595943805570692
21,0.02937670890999115
22,0.008782092280325227
23,0.029376708909990397
24,0.015959438055705155
25,-0.0025568667367227307
26,0.015959438055706366
27,0.01595943805570656
28,-0.0025568667367235564
29,0.01595943805570653
30,0.029376708909990806
31,0.008782092280325898
32,0.029376708909990935
33,0.015959438055706432
34,-0.002556866736723916
35,0.01595943805570718
36,-0.039999999999997184
37,-0.02826966447994827
38,-0.04
39,-0.027943089256268053
40,-0.015574876954130672
41,-0.02794308925626727
42,-0.039999999999997024
43,-0.028269664479948726
44,-0.039999999999997905
45,-0.03999999999999827
46,-0.028269664479948154
47,-0.03999999999999804
48,-0.027943089256266748
49,-0.015574876954130828
50,-0.027943089256267907
51,-0.039999999999997544
52,-0.028269664479949348
53,-0.03999999999999656
