        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -2.640E-09    -2.660E-09    -3.788E-09     5.328E-09 
   -2.500E-01    -2.500E-01     0.000E+00    -4.490E-09    -4.512E-09    -4.451E-09     7.767E-09 
   -2.500E-01    -2.500E-01     2.500E-01    -7.152E-09    -7.149E-09    -4.142E-09     1.093E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -3.457E-09    -1.801E-09    -5.141E-09     6.451E-09 
   -2.500E-01     0.000E+00     0.000E+00    -6.568E-09    -3.496E-09    -6.918E-09     1.016E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.137E-08    -6.760E-09    -7.644E-09     1.528E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -4.081E-09    -1.369E-10    -6.096E-09     7.337E-09 
   -2.500E-01     2.500E-01     0.000E+00    -7.911E-09    -8.498E-10    -8.698E-09     1.179E-08 
   -2.500E-01     2.500E-01     2.500E-01    -1.507E-08    -2.643E-09    -1.100E-08     1.885E-08 
    0.000E+00    -2.500E-01    -2.500E-01    -1.776E-09    -3.505E-09    -5.194E-09     6.513E-09 
    0.000E+00    -2.500E-01     0.000E+00    -3.536E-09    -6.526E-09    -6.935E-09     1.016E-08 
    0.000E+00    -2.500E-01     2.500E-01    -6.525E-09    -1.147E-08    -7.658E-09     1.526E-08 
    0.000E+00     0.000E+00    -2.500E-01    -2.676E-09    -2.615E-09    -7.438E-09     8.326E-09 
    0.000E+00     0.000E+00     0.000E+00    -5.573E-09    -5.589E-09    -1.130E-08     1.378E-08 
    0.000E+00     0.000E+00     2.500E-01    -1.192E-08    -1.208E-08    -1.554E-08     2.301E-08 
    0.000E+00     2.500E-01    -2.500E-01    -3.046E-09    -3.433E-10    -8.852E-09     9.368E-09 
    0.000E+00     2.500E-01     0.000E+00    -7.376E-09    -1.792E-09    -1.493E-08     1.675E-08 
    0.000E+00     2.500E-01     2.500E-01    -1.736E-08    -6.509E-09    -2.480E-08     3.096E-08 
    2.500E-01    -2.500E-01    -2.500E-01    -1.883E-11    -4.019E-09    -6.110E-09     7.314E-09 
    2.500E-01    -2.500E-01     0.000E+00    -8.234E-10    -7.946E-09    -8.668E-09     1.179E-08 
    2.500E-01    -2.500E-01     2.500E-01    -2.460E-09    -1.516E-08    -1.114E-08     1.897E-08 
    2.500E-01     0.000E+00    -2.500E-01    -3.331E-10    -3.212E-09    -8.833E-09     9.405E-09 
    2.500E-01     0.000E+00     0.000E+00    -1.625E-09    -7.166E-09    -1.453E-08     1.628E-08 
    2.500E-01     0.000E+00     2.500E-01    -6.028E-09    -1.781E-08    -2.406E-08     3.054E-08 
    2.500E-01     2.500E-01    -2.500E-01    -5.656E-10    -5.858E-10    -1.078E-08     1.081E-08 
    2.500E-01     2.500E-01     0.000E+00    -2.916E-09    -3.044E-09    -2.038E-08     2.081E-08 
    2.500E-01     2.500E-01     2.500E-01    -1.054E-08    -1.082E-08    -3.980E-08     4.257E-08 
