        x_(m)         y_(m)         z_(m)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
   -2.500E-01    -2.500E-01    -2.500E-01    -3.283E-09    -1.030E-08    -6.392E-09     1.256E-08 
   -2.500E-01    -2.500E-01     0.000E+00    -4.324E-09    -1.430E-08    -4.458E-09     1.559E-08 
   -2.500E-01    -2.500E-01     2.500E-01    -4.833E-09    -1.705E-08    -3.385E-10     1.772E-08 
   -2.500E-01     0.000E+00    -2.500E-01    -5.605E-09    -1.443E-08    -1.219E-08     1.971E-08 
   -2.500E-01     0.000E+00     0.000E+00    -8.445E-09    -2.335E-08    -1.027E-08     2.687E-08 
   -2.500E-01     0.000E+00     2.500E-01    -1.007E-08    -3.034E-08    -2.738E-09     3.209E-08 
   -2.500E-01     2.500E-01    -2.500E-01    -1.043E-08    -1.877E-08    -2.362E-08     3.192E-08 
   -2.500E-01     2.500E-01     0.000E+00    -1.775E-08    -3.792E-08    -2.497E-08     4.875E-08 
   -2.500E-01     2.500E-01     2.500E-01    -2.443E-08    -5.790E-08    -1.166E-08     6.392E-08 
    0.000E+00    -2.500E-01    -2.500E-01     5.968E-11    -1.111E-08    -6.976E-09     1.312E-08 
    0.000E+00    -2.500E-01     0.000E+00     5.791E-11    -1.576E-08    -5.070E-09     1.656E-08 
    0.000E+00    -2.500E-01     2.500E-01     1.015E-10    -1.865E-08    -2.399E-10     1.865E-08 
    0.000E+00     0.000E+00    -2.500E-01    -9.982E-11    -1.663E-08    -1.389E-08     2.167E-08 
    0.000E+00     0.000E+00     0.000E+00     1.688E-10    -2.630E-08    -1.189E-08     2.887E-08 
    0.000E+00     0.000E+00     2.500E-01     1.371E-10    -3.459E-08    -3.407E-09     3.476E-08 
    0.000E+00     2.500E-01    -2.500E-01     2.184E-10    -2.164E-08    -2.724E-08     3.479E-08 
    0.000E+00     2.500E-01     0.000E+00     2.547E-11    -4.639E-08    -2.919E-08     5.481E-08 
    0.000E+00     2.500E-01     2.500E-01     4.976E-10    -7.122E-08    -1.341E-08     7.247E-08 
    2.500E-01    -2.500E-01    -2.500E-01     3.273E-09    -1.005E-08    -6.429E-09     1.237E-08 
    2.500E-01    -2.500E-01     0.000E+00     4.237E-09    -1.425E-08    -4.417E-09     1.551E-08 
    2.500E-01    -2.500E-01     2.500E-01     4.899E-09    -1.664E-08    -2.581E-10     1.734E-08 
    2.500E-01     0.000E+00    -2.500E-01     5.699E-09    -1.446E-08    -1.233E-08     1.984E-08 
    2.500E-01     0.000E+00     0.000E+00     8.236E-09    -2.339E-08    -1.047E-08     2.692E-08 
    2.500E-01     0.000E+00     2.500E-01     9.952E-09    -3.070E-08    -2.954E-09     3.241E-08 
    2.500E-01     2.500E-01    -2.500E-01     9.982E-09    -1.797E-08    -2.384E-08     3.148E-08 
    2.500E-01     2.500E-01     0.000E+00     1.745E-08    -3.725E-08    -2.465E-08     4.796E-08 
    2.500E-01     2.500E-01     2.500E-01     2.404E-08    -5.746E-08    -1.103E-08     6.325E-08 
